"aX,aY,aZ,gX,gY,gZ"
"0.071167,-0.938232,-0.427490,-17.639160,5.554199,4.516602"
"0.067383,-0.963623,-0.404175,-2.197266,-3.723144,8.666992"
"0.050049,-0.917358,-0.314087,2.990722,-6.958007,11.169433"
"0.044800,-0.887817,-0.254150,1.220703,-6.591796,10.742187"
"0.056763,-0.895020,-0.264160,-9.643555,2.380371,8.178711"
"0.077271,-0.871704,-0.317749,-9.826660,9.521484,8.422852"
"0.080200,-0.833130,-0.359375,-9.094238,10.864257,7.812500"
"0.088989,-0.864502,-0.410767,-3.967285,7.690429,5.187988"
"0.087891,-0.896362,-0.428223,8.239746,-2.807617,5.615234"
"0.072632,-0.878906,-0.357788,15.808105,-10.498046,6.774902"
"0.063965,-0.854370,-0.283691,23.498533,-16.723633,6.042480"
"0.058960,-0.848267,-0.265259,12.390136,-9.094238,4.943848"
"0.060791,-0.846924,-0.268066,-6.042480,5.554199,5.065917"
"0.079712,-0.858032,-0.361816,-8.911133,13.183593,5.920410"
"0.095703,-0.885742,-0.496094,-14.526366,18.249512,8.056641"
"0.091553,-0.895020,-0.487305,-5.310058,4.821777,12.573241"
"0.066040,-0.857666,-0.392822,6.469726,-0.427246,15.441894"
"0.041016,-0.769287,-0.323853,24.047850,-3.601074,15.563964"
"0.046387,-0.780151,-0.304321,15.808105,1.586914,5.615234"
"0.063843,-0.849854,-0.363159,-3.540039,15.319823,0.000000"
"0.112427,-0.976074,-0.503540,-3.601074,17.639160,3.417969"
"0.120605,-0.931274,-0.477905,15.319823,12.817382,18.371582"
"0.099487,-0.862671,-0.458862,24.169920,10.009766,27.709959"
"0.051758,-0.717407,-0.409058,12.329101,5.310058,18.066406"
"0.039185,-0.732422,-0.354858,6.225585,5.310058,8.789063"
"0.092407,-0.859985,-0.440063,0.183105,14.099120,-3.417969"
"0.113525,-0.922974,-0.510742,3.601074,19.226074,-0.183105"
"0.129272,-0.961304,-0.553345,10.498046,17.150879,6.347656"
"0.102661,-0.849243,-0.488892,19.897461,10.437011,18.737793"
"0.061646,-0.751709,-0.402954,9.399414,6.347656,17.150879"
"0.051514,-0.736816,-0.384644,-7.934570,5.737304,3.906250"
"0.062012,-0.777466,-0.364136,-12.939452,5.859375,-3.234863"
"0.111572,-0.875977,-0.412109,-16.296387,10.559081,-10.864257"
"0.139282,-0.915039,-0.484741,-5.310058,15.808105,-4.211426"
"0.136353,-0.905884,-0.535156,6.042480,8.239746,8.178711"
"0.087280,-0.784302,-0.444336,2.746582,4.272461,11.230468"
"0.054077,-0.707153,-0.369141,-9.521484,-1.770019,3.356933"
"0.046265,-0.732178,-0.336426,-20.812986,-3.723144,-12.573241"
"0.062134,-0.848389,-0.340698,-23.864744,-0.610352,-16.784668"
"0.096191,-0.887085,-0.395996,-23.925779,8.666992,-13.977050"
"0.116943,-0.877441,-0.446899,-21.118162,15.930175,-6.347656"
"0.116943,-0.824219,-0.557739,-3.417969,6.530761,-2.624511"
""
"-0.048096,-0.779907,-0.623657,11.535644,3.295898,-9.887695"
"-0.041016,-0.816284,-0.630615,5.554199,7.324218,-11.413573"
"-0.024536,-0.794067,-0.650391,5.676269,7.568359,-8.544922"
"-0.010864,-0.777344,-0.677856,8.300781,6.958007,-7.934570"
"-0.031616,-0.756470,-0.666992,15.747069,2.014160,-5.920410"
"-0.062378,-0.719849,-0.633179,15.686034,-1.098633,-5.737304"
"-0.069092,-0.701904,-0.619873,4.089355,-1.342773,-8.850098"
"-0.047974,-0.740601,-0.603882,0.610352,-0.549316,-11.657714"
"-0.042236,-0.740112,-0.648193,3.417969,5.004883,-12.939452"
"-0.055176,-0.719849,-0.724121,8.666992,5.615234,-13.488769"
"-0.065430,-0.729980,-0.703857,13.854980,-3.906250,-14.465331"
"-0.073242,-0.778931,-0.604126,16.235352,-6.530761,-14.099120"
"-0.074097,-0.786133,-0.579956,17.028809,-2.624511,-10.559081"
"-0.083496,-0.741699,-0.605957,10.925292,5.493164,-8.483887"
"-0.085571,-0.649414,-0.716919,5.065917,7.324218,-11.047362"
"-0.068604,-0.781494,-0.733032,-2.624511,0.305176,-22.888182"
"-0.073486,-0.787476,-0.679443,16.174316,-2.136230,-13.793944"
"-0.084961,-0.754517,-0.663208,28.747557,-1.892090,-7.873535"
"-0.099121,-0.763794,-0.602295,29.663084,-0.915527,-7.873535"
"-0.110962,-0.716309,-0.661133,24.597166,5.371093,-6.225585"
"-0.115601,-0.688232,-0.681519,17.333984,4.333496,-8.666992"
"-0.105591,-0.666626,-0.713623,13.244628,6.103515,-13.671874"
"-0.087646,-0.704590,-0.753052,13.305663,6.469726,-15.441894"
"-0.094238,-0.724121,-0.702881,19.592285,2.563476,-13.916015"
"-0.102539,-0.705322,-0.676514,25.573729,2.868652,-10.375976"
"-0.117554,-0.670898,-0.673218,23.193357,8.728027,-12.207030"
"-0.116943,-0.696411,-0.736938,22.216795,11.291503,-13.122558"
"-0.121948,-0.669067,-0.804810,23.925779,10.803222,-12.023925"
"-0.116577,-0.670776,-0.823120,18.371582,2.868652,-13.549804"
"-0.122559,-0.632690,-0.826416,16.845703,-1.281738,-13.977050"
"-0.144653,-0.621338,-0.780151,14.953612,-6.530761,-17.700195"
"-0.146606,-0.696655,-0.738403,5.615234,-4.577637,-22.583006"
"-0.143066,-0.727295,-0.744995,-6.958007,0.976562,-20.629881"
"-0.133911,-0.697632,-0.770264,-14.770507,3.295898,-16.479492"
"-0.138184,-0.658813,-0.828369,-14.099120,2.258301,-16.357422"
"-0.148926,-0.640991,-0.842407,-8.361816,-5.859375,-17.211914"
