"aX,aY,aZ,gX,gY,gZ"
"-0.044800,-0.058838,-0.999268,-4.882812,-3.051758,1.586914"
"-0.033447,-0.026611,-0.981689,0.488281,0.305176,2.685547"
"-0.030151,-0.033936,-1.000977,2.380371,4.089355,0.732422"
"-0.024658,-0.046997,-1.022217,-7.629394,2.868652,-0.610352"
"-0.008789,-0.094482,-0.987427,-11.596679,0.000000,0.000000"
"-0.031494,-0.063354,-1.002808,-13.122558,0.061035,5.737304"
"-0.046753,-0.049805,-1.004395,-15.136718,-1.037598,7.019042"
"-0.047607,-0.038452,-0.975098,-21.789549,-0.854492,6.103515"
"-0.047607,-0.031128,-0.988403,-24.841307,3.295898,2.380371"
"-0.038330,-0.083984,-0.990479,-22.705076,3.784179,-1.403808"
"-0.021118,-0.117920,-0.993286,-24.658201,3.967285,0.671387"
"-0.025513,-0.158569,-1.050171,-24.108885,3.417969,5.676269"
"-0.031860,-0.170898,-1.040405,-25.390623,-2.746582,12.817382"
"-0.036255,-0.145752,-0.946167,-18.371582,-1.281738,19.042969"
"-0.050415,-0.077271,-0.963013,-9.765625,6.347656,21.179197"
"-0.051392,-0.014893,-1.004639,-27.038572,2.807617,16.479492"
"-0.038696,-0.060303,-0.983643,-35.583496,0.976562,12.573241"
"-0.037476,-0.195435,-0.945801,-10.986327,1.464844,7.019042"
"-0.044556,-0.143188,-0.974121,7.690429,7.934570,15.930175"
"-0.044678,-0.124268,-1.007568,5.798339,8.972168,18.737793"
"-0.046875,-0.114380,-0.982910,4.699707,5.798339,19.897461"
"-0.051636,-0.074341,-0.940918,6.958007,4.821777,21.118162"
"-0.062378,-0.070557,-0.985962,4.272461,8.239746,18.554687"
"-0.064209,-0.068115,-0.987549,-8.178711,6.286621,18.249512"
"-0.066406,-0.060791,-0.978271,-11.840819,6.225585,17.211914"
"-0.063354,-0.125366,-1.008423,-5.249023,7.263183,14.282226"
"-0.055176,-0.219238,-1.042236,-0.488281,7.019042,13.916015"
"-0.058350,-0.161621,-0.984863,-14.099120,0.427246,26.123045"
"-0.068115,-0.108887,-0.943726,-8.178711,0.732422,32.165527"
"-0.082031,-0.061035,-0.970459,1.708984,8.483887,28.015135"
"-0.084351,-0.055298,-1.068848,-15.441894,1.525879,26.428221"
"-0.084106,-0.014282,-0.994873,-31.066893,-5.615234,26.977537"
"-0.062134,-0.072876,-0.895142,-38.513184,-8.728027,19.836426"
"-0.060913,-0.138184,-0.904175,-1.525879,5.432128,16.052246"
"-0.072998,-0.084229,-1.021606,-5.981445,9.399414,23.376463"
"-0.062744,-0.077393,-1.044922,-2.502441,5.249023,20.446775"
"-0.057739,-0.146973,-0.989502,22.521971,0.793457,16.723633"
"-0.048584,-0.132324,-0.989258,32.287598,3.173828,22.644041"
"-0.052856,-0.061646,-0.940796,19.531250,1.342773,27.832029"
"-0.068726,-0.007446,-0.930054,14.526366,8.850098,25.756834"
""
"-0.135376,-0.012939,-1.058716,-33.020020,11.840819,-50.598141"
"-0.097168,-0.212891,-1.048462,-28.991697,0.732422,-49.743649"
"-0.078369,-0.264160,-1.012451,-13.122558,-5.737304,-30.395506"
"-0.069336,-0.179077,-1.010132,-5.432128,-8.911133,-7.507324"
"-0.089355,0.030396,-0.937744,-4.760742,-10.375976,-3.723144"
"-0.090820,0.108765,-0.926636,4.516602,-5.004883,-11.657714"
"-0.107178,0.101318,-0.944702,-5.310058,-1.098633,-21.362303"
